indiv	mean_gill_score	amoebic_load
Fish_00438	3	29.29
Fish_00439	3.5	30.53
Fish_00440	3	30.12
Fish_00443	3.5	28.67
Fish_00444	1.75	34.53
Fish_00445	3	31.44
Fish_00446	4	26.96
Fish_00447	0.5	35.43
Fish_00448	2.5	34.73
Fish_00449	3	31.96
Fish_00451	3.25	29.54
Fish_00452	1.25	36.24
Fish_00453	3	33.31
Fish_00454	2	36.37
Fish_00455	3	33.02
Fish_00456	3.75	28.05
Fish_00457	3.25	27.83
Fish_00458	2	34.81
Fish_00460	2.5	34.93
Fish_00462	2.75	32.51
Fish_00463	2.5	33.56
Fish_00464	1.75	31.31
Fish_00465	3	30.99
Fish_00466	3.25	28.11
Fish_00467	3.25	28.2
Fish_00468	3.75	25.68
Fish_00469	3	32.9
Fish_00470	3	29.8
Fish_00471	2.75	31.46
Fish_00472	1.25	31.27
Fish_00491	3.25	27.19
Fish_00492	3.5	28.43
Fish_00493	2	36.43
Fish_00494	3	29.26
Fish_00495	3.75	30.75
Fish_00497	3	30.74
Fish_00498	3	30.99
Fish_00499	3	28.55
Fish_00500	3	29.94
Fish_00501	3.75	29.87
Fish_00503	2	37.1
Fish_00504	3	32.95
Fish_00505	4.25	27.45
Fish_00506	3	30.46
Fish_00507	2	31.91
Fish_00509	2	36.7
Fish_00510	3.25	29.44
Fish_00511	3	27.63
Fish_00512	3	29.06
Fish_00513	2.5	30.59
Fish_00514	2	33.18
Fish_00515	3.5	28.03
Fish_00516	1	41.8
Fish_00517	1.5	31.32
Fish_00518	3.25	28.03
Fish_00519	2.75	31.63
Fish_00520	2.5	26.92
Fish_00521	3	26.46
Fish_00523	3	29.11
Fish_00524	2.5	32.78
Fish_00525	2	32.03
Fish_00526	3.5	28.86
Fish_00527	2.75	28.91
Fish_00528	3.25	28.41
Fish_00529	2.25	34.95
Fish_00530	2.25	34.38
Fish_00531	3.5	28.97
Fish_00533	3.5	30.51
Fish_00534	2.5	35.71
Fish_00535	2	35.06
Fish_00536	3	32.79
Fish_00537	4	30.1
Fish_00538	2.5	31.37
Fish_00539	2	34.6
Fish_00540	3.75	28.47
Fish_00541	1	33.31
Fish_00542	3.25	30.72
Fish_00543	2	35.76
Fish_00544	3.25	26.37
Fish_00545	2	34.5
Fish_00546	3.75	26.45
Fish_00547	3.75	29.34
Fish_00548	3.75	29.38
Fish_00549	3	32.21
Fish_00550	3.25	27.7
Fish_00551	3.75	29.42
Fish_00552	1.5	31.65
Fish_00553	1.5	35.39
Fish_00554	3	31.85
Fish_00555	3	29.23
Fish_00556	4	28.93
Fish_00557	2.25	29.51
Fish_00558	3.75	27.88
Fish_00559	2	29.93
Fish_00560	3	32.25
Fish_00561	2	35.13
Fish_00562	2.5	29.24
Fish_00563	1.75	32.64
Fish_00564	3.25	31.05
Fish_00565	2	35.93
Fish_00566	3.25	27.57
Fish_00567	2	29.09
Fish_00568	3.25	31
Fish_00569	2	36.09
Fish_00570	3.5	29.82
Fish_00571	2	32.73
Fish_00573	3	33.12
Fish_00574	3.5	27.28
Fish_00575	3	27.8
Fish_00577	3	32.47
Fish_00578	1.5	35.8
Fish_00579	3.25	27.48
Fish_00580	3.75	28.13
Fish_00581	2	36.43
Fish_00582	1.5	37.26
Fish_00583	3	28.8
Fish_00584	2	38.82
Fish_00585	2	38.07
Fish_00586	2.25	33.84
Fish_00587	1.5	35.47
Fish_00588	3.25	30.82
Fish_00589	2	30.27
Fish_00590	2	32.15
Fish_00591	3	33.62
Fish_00592	2	37.7
Fish_00593	2.5	34.72
Fish_00594	2.75	32.34
Fish_00595	3.25	30.03
Fish_00597	3	33.24
Fish_00598	3.5	29
Fish_00599	3.25	28.52
Fish_00600	2	33.31
Fish_00601	1.5	34.28
Fish_00602	3.5	29.26
Fish_00603	2	32.78
Fish_00604	2.25	31.81
Fish_00605	3.25	28.9
Fish_00606	3.25	31.54
Fish_00608	3.25	31.5
Fish_00609	3.25	29.64
Fish_00611	3	32.03
Fish_00612	2.25	33.54
Fish_00613	4.25	25.84
Fish_00614	3.25	29.53
Fish_00617	2.75	31.37
Fish_00618	1.25	31.83
Fish_00619	2.75	33.5
Fish_00621	3.25	31.49
Fish_00622	3.5	29.21
Fish_00623	2.75	28.67
Fish_00624	2.25	34.64
Fish_00625	2.25	33.58
Fish_00626	1.75	34.71
Fish_00627	3	31.82
Fish_00628	2.75	32.14
Fish_00629	3.25	31.65
Fish_00630	2.75	31.16
Fish_00631	3.25	28.87
Fish_00632	1.5	31.11
Fish_00633	3.25	33.08
Fish_00634	3	32.36
Fish_00635	3.5	30.21
Fish_00637	3	32.26
Fish_00638	3	30.24
Fish_00640	2.25	32.97
Fish_00641	2	33.87
Fish_00642	2.5	34.17
Fish_00645	2	38.19
Fish_00646	3	28.79
Fish_00649	2.25	36.46
Fish_00650	3.75	26.68
Fish_00651	2.75	31.68
Fish_00652	1.75	39.51
Fish_00653	1.75	36.4
Fish_00654	1.25	41.08
Fish_00655	2	31.67
Fish_00656	3.5	28.33
Fish_00657	2.25	32.12
Fish_00658	3	29.61
Fish_00659	2.25	34.69
Fish_00660	2.25	34.12
Fish_00661	2.25	33.39
Fish_00662	2	36.39
Fish_00663	2.25	29.34
Fish_00664	2.25	32.46
Fish_00665	3.25	30.33
Fish_00666	2.75	31.5
Fish_00667	3	29.58
Fish_00669	3	31.53
Fish_00670	4	27.8
Fish_00671	2.5	35.14
Fish_00672	2.25	33.22
Fish_00673	2.5	33.19
Fish_00674	2.75	30.93
Fish_00675	3.25	32.6
Fish_00676	1	37.67
Fish_00677	3.25	27.49
Fish_00679	2	34.01
Fish_00680	3	30.1
Fish_00681	3	29.75
Fish_00682	3.5	27.32
Fish_00683	3.25	31.92
Fish_00684	2.5	32.94
Fish_00685	3.5	28.59
Fish_00686	3.75	26.89
Fish_00687	3	35.01
Fish_00688	3.25	31.74
Fish_00689	2.5	34.45
Fish_00691	4.25	27.29
Fish_00692	4	26.67
Fish_00694	3.75	27.68
Fish_00695	3.25	29.22
Fish_00696	3.75	26.36
Fish_00697	3.25	30.04
Fish_00698	3.5	30.88
Fish_00699	3.25	30.22
Fish_00700	4	28.37
Fish_00701	3	32.27
Fish_00702	2.75	27.84
Fish_00703	3	32.92
Fish_00705	2.5	36.13
Fish_00706	3	29.4
Fish_00707	2.5	30.03
Fish_00708	4	27.66
Fish_00709	4	27.2
Fish_00710	2	35.34
Fish_00711	3	30.33
Fish_00712	3	28.37
Fish_00713	1.75	33.15
Fish_00714	1.5	37.12
Fish_00715	2	35.92
Fish_00716	2.25	32.56
Fish_00717	3	31.97
Fish_00719	3.75	30.69
Fish_00720	2	35.41
Fish_00722	2.75	33.75
Fish_00723	1.25	40.85
Fish_00724	2.75	31.97
Fish_00725	2.5	30.47
Fish_00726	2.25	31.2
Fish_00727	4	28.18
Fish_00728	2	32.63
Fish_00729	4	28.31
Fish_00731	3	30.1
Fish_00732	1.5	38.22
Fish_00733	2.5	30.99
Fish_00734	3.75	29.56
Fish_00735	3	28.5
Fish_00736	3.25	28.18
Fish_00737	2.75	31.13
Fish_00738	3.25	33.01
Fish_00739	3.5	28.15
Fish_00740	2.5	30.2
Fish_00741	2	35.07
Fish_00742	4.25	26.47
Fish_00743	3.75	28.37
Fish_00744	2.25	31.25
Fish_00745	3.25	30.61
Fish_00747	3	33.99
Fish_00748	2.75	31.96
Fish_00749	3.75	28.72
Fish_00750	2.75	34.18
Fish_00751	3.25	29.47
Fish_00752	3.25	30.96
Fish_00753	3.25	30.78
Fish_00754	3.75	29.47
Fish_00755	1	35.58
Fish_00756	2.5	32.63
Fish_00757	3.75	28.23
Fish_00758	2	32.25
Fish_00759	4	26.71
Fish_00761	3	30.31
Fish_00762	4	29.19
Fish_00763	3	30.01
Fish_00764	4	29.08
Fish_00765	3.75	28.97
Fish_00766	3.25	27.44
Fish_00767	1.5	35.38
Fish_00768	3.25	32.19
Fish_00769	1.25	35.95
Fish_00770	3	32.18
Fish_00771	3	28.5
Fish_00772	3.25	28.99
Fish_00773	2.75	30.05
